question,positive1,positive2,positive3,positive4,neg_1,neg_2,neg_3,neg_4,neg_5,neg_6
". A cycle is bought for Rs.900 and sold for Rs.1080, find the gain percent?","A cycle is purchased for 900 Rs.900 and sold for 1080 Rs.1080, can you find the percentage profit?",". A cycle is bought for Rs.900 and sold for Rs.1080, find the gain percent?",". A cycle is bought for Rs.nine hundred and sold for Rs.one thousand and eighty, find the gain percent?",,". A cycle is bought for Rs.900 and sold for Rs.1080, find the ?",". A 799 is bought for Rs.900 and sold for Rs.8269ã, find the gain percent?",". A cycle is bought for Rs.900 and sold for , find the gain percent?","A cycle is bought for Rs. and sold for Rs. , find the gain percent?",Is it possible to find the gain percent on a cycle that is sold for Rs.1080?,". A cheng is bought for Rs.900 and sold for Rs.esro, find the gain percent?"
"The length of the bridge, which a train 130 metres long and travelling at 45 km/hr can cross in 30 seconds, is?",The length of the bridge that a 130 metre long train can cross in 30 seconds at a speed of 45 km / h is?,"The length of the bridge, which a train 130 metres long and travelling at 45 km/hr can cross in 30 seconds, is?","The length of the bridge, which a train 1thirty metres long and travelling at forty-five km/hr can cross in thirty seconds, is?",,"The length of the , which a train 130 metres long and travelling at 45 km/hr can cross in 30 seconds, is?","The length of the bridge, which a train 130 metres long and travelling at 45 km/hr can cross in","The length of the bridge, which a train encyclopedia metres long and travelling at 45 km/hr can cross in 30 seconds, is?","The length of the bridge, which a train 1 metres long and travelling at km/hr can cross in seconds, is?","A train travelling at 45 km/hr can cross a bridge in 30 seconds, but is the length of it?","The length of the bridge, which a train 130 inches long and travelling at 45 km/hr can cross in 30 seconds, is?"
"The speed at which a man can row a boat in still water is 24 kmph. If he rows downstream, where the speed of current is 8 kmph, what time will he take to cover 40 metres?","The speed with which a man can row a boat in still water is 24 km / h.Rowing downstream, where the flow rate is 8 km / h, how much time will it take to travel 40 metres?","The speed at which a man can row a boat in still water is 24 kmph. If he rows downstream, where the speed of current is 8 kmph, what time will he take to cover 40 metres?","The speed at which a man can row a boat in still water is twenty-four kmph. If he rows downstream, where the speed of current is eight kmph, what time will he take to cover forty metres?","The speed at which a man can row a boat in still water is 24 kilometre per hour. If he rows downstream, where the speed of current is 8 kmph, what time will he take to cover 40 metres?","The speed at which a man can row a boat in still water is 24 . If he rows downstream, where the speed of current is 8 , what time will he take to cover 40 metres?",The speed at which a man can row a boat in still water is 24 kmph.,"The speed at which a man can row a boat in still water is 24 1122. If he rows downstream, where the speed of current is 8 kmph, what time will he take to cover 40 metres?","The speed at which a man can row a boat in still water is kmph. If he rows downstream, where the speed of current is kmph, what time will he take to cover 40 metres?","If the current is 8 kmph, what time will he take to cover 40 metres, if he row downstream?","The speed at which a man can row a boat in still water is 24 m/s. If he rows downstream, where the speed of current is 8 kmph, what time will he take to cover 40 metres?"
"Running at the same rate, 8 identical machines can produce 560 paperclips a minute. At this rate, how many paperclips could 10 machines produce in 6 minutes?","At the same speed, 8 identical machines can produce 560 paper clips per minute.How many paper clips could 10 machines make in 6 minutes?","Running at the same rate, 8 identical machines can produce 560 paperclips a minute. At this rate, how many paperclips could 10 machines produce in 6 minutes?","Running at the same rate, eight identical machines can produce five hundred and sixty paperclips a minute. At this rate, how many paperclips could ten machines produce in six minutes?",,"Running at the same rate, 8 identical machines can produce 560 a minute. At this rate, how many could 10 machines produce in 6 minutes?","Running at the same rate, 8 identical machines can produce 560 paperclips a minute.","Running at the same rate, 8 identical reconstruct can produce 560 390m a minute. At this rate, how many paperclips could 10 machines produce in 6 minutes?","Running at the same rate, 8 identical machines can produce paperclips a minute. At this rate, how many paperclips could machines produce in 6 minutes?",A machine that runs at the same rate can produce 560 paperclips a minute.,"Running at the same rate, 8 identical machines can produce 560 paperclips a year. At this rate, how many paperclips could 10 machines produce in 6 minutes?"
"In a game of 70 points, A can give B 5 points and C 25 points. then how many points can B give C in a game of 50?","In a game with 70 points, A B can score 5 points and C 25.then how many points can B C give in a game of 50?","In a game of 70 points, A can give B 5 points and C 25 points. then how many points can B give C in a game of 50?","In a game of seventy points, A can give B five points and C twenty-five points. Then how many points can B give C in a game of five0?",,"In a game of 70 , A can give B 5 and C 25 . then how many can B give C in a game of 50?","In a game of 70 points, A can give B 5 points and C 25 points. then how many points can B give C in a","In a game of 70 that, A can give B 5 points and C 25 points. then how many points can B give C in a game of 50?","In a game of 70 points, A can give B points and C points. then how many points can B give C in a game of 0?","In a game of 70 made, A can sambhu B 5 points and C 25 points. then how many points can B give C in a game of 50?","In a game of 70 plastics, A can give B 5 points and C 25 points. then how many points can B give C in a game of 50?"
"A boy wants to go abroad by boat and return by flight. He has a choice of 6 different boat to go and 5 flight to return. In how many ways, can the boy perform his journey?",A boy wants to go abroad by boat and by plane.He has the choice between 6 different boats and 5 flights back and forth.How many ways can the boy carry out his journey?,"A boy wants to go abroad by boat and return by flight. He has a choice of 6 different boat to go and 5 flight to return. In how many ways, can the boy perform his journey?","A boy wants to go abroad by boat and return by flight. He has a choice of six different boat to go and five flight to return. In how many ways, can the boy perform his journey?",,"A wants to go abroad by boat and return by flight. He has a choice of 6 different boat to go and 5 flight to return. In how many ways, can the perform his journey?",A boy wants to go abroad by boat and return by flight. He has a choice of 6 different boat to go and 5 flight to return.,"A boy wants to go abroad by boat and return by pellet. He has a choice of 6 different boat to go and 5 flight to return. In how many ways, can the boy perform his journey?","A boy wants to go abroad by boat and return by flight. He has a choice of different boat to go and flight to return. In how many ways, can the boy perform his journey?","A boy wants to go abroad by boat and closer by 2xb. He has a choice of 6 different boat to go and 5 flight to return. In how many ways, can the boy perform his journey?","A boy wants to go abroad by boat and return by 8x2. He has a choice of 6 different boat to go and 5 flight to return. In how many ways, can the boy perform his journey?"
"The product X of two prime numbers is between 15 and 70. If one of the prime numbers is greater than 2 but less than 6 and the other is greater than 13 but less than 25, then X =","The product X of two prime numbers lies between 15 and 70.If one of the prime numbers is greater than 2 but smaller than 6 and the other is greater than 13 but smaller than 25, then X =","The product X of two prime numbers is between 15 and 70. If one of the prime numbers is greater than 2 but less than 6 and the other is greater than 13 but less than 25, then X =","The product X of two prime numbers is between fifteen and seventy. If one of the prime numbers is greater than two but less than six and the other is greater than thirteen but less than twenty-five, then X =",,"The product X of two is between 15 and 70. If one of the is greater than 2 but less than 6 and the other is greater than 13 but less than 25, then X =",The product X of two prime numbers is between 15 and 70.,"The product X of two prime numbers is between 15 and 70. If one of the prime numbers is greater xnx1x2x3 2 but less than 6 and the other is greater than 13 but less than 25, then X =","The product X of 2 prime numbers is between 15 and 70. If 1 of the prime numbers is greater than 2 but less than 6 and the other is greater than but less than , then X =","The product X of two prime numbers is between 15 and 70. If one of the prime numbers is greater 36x 2 but less than 6 and the other is greater than 13 but less than 25, then X =","The product X of two dolly numbers is between 15 and 70. If one of the prime numbers is greater aditya 2 but less than 6 and the other is greater than 13 but less than 25, then X ="
.05% of cans of beans that go down a conveyor belt are sealed improperly and must be disposed of. How many cans of beans must pass down a conveyor belt for 5 cans to be sealed improperly?,0.05% of cans of beans that pass through a conveyor belt are improperly sealed and must be disposed of.How many cans of beans have to pass through a conveyor belt for 5 cans to be closed improperly?,.05% of cans of beans that go down a conveyor belt are sealed improperly and must be disposed of. How many cans of beans must pass down a conveyor belt for 5 cans to be sealed improperly?,.five% of cans of beans that go down a conveyor belt are sealed improperly and must be disposed of. How many cans of beans must pass down a conveyor belt for five cans to be sealed improperly?,,.05% of cans of that go down a conveyor belt are sealed improperly and must be disposed of. How many cans of must pass down a conveyor belt for 5 cans to be sealed improperly?,.05% of cans of beans that go down a conveyor belt are sealed improperly and must be disposed of.,.05% of concentrated of beans that go down a conveyor belt are sealed neighboring and must be disposed of. How many cans of beans must pass down a conveyor belt for 5 cans to be sealed improperly?,% of cans of beans that go down a conveyor belt are sealed improperly and must be disposed of. How many cans of beans must pass down a conveyor belt for cans to be sealed improperly?,.05% of reductions of beans that go down a conveyor belt are sealed nach and must be disposed of. How many cans of beans must pass down a conveyor belt for 5 cans to be sealed improperly?,.05% of rech of beans that go down a conveyor belt are sealed palindromes and must be disposed of. How many cans of beans must pass down a conveyor belt for 5 cans to be sealed improperly?
"The sum of the present ages of A, B, C is 51 years. Three years ago their ages were in the ratio 1:2:3. What is the present age of A?","The sum of the current ages of A, B, C is 51 years.Three years ago, her age was 1: 2: 3.What is the current age of A?","The sum of the present ages of A, B, C is 51 years. Three years ago their ages were in the ratio 1:2:3. What is the present age of A?","The sum of the present ages of A, B, C is 5one years. Three years ago their ages were in the ratio one:two:three. What is the present age of A?",,"The of the present ages of A, B, C is 51 years. Three years ago their ages were in the ratio 1:2:3. What is the present age of A?","The sum of the present ages of A, B, C is 51 years. Three years ago their ages were in the ratio 1:2:3.","The sum of the present 16ft of A, B, C is 51 years. Three years ago their ages were in the ratio 1:2:3. What is the present age of A?","The sum of the present ages of A, B, C is 5 years. years ago their ages were in the ratio :2: . What is the present age of A?","The sum of the present ntetoo of A, B, C is 51 years. Three years ago their ages were in the ratio 1:2:3. What is the present age of A?","The sum of the present ages of A, B, C is 51 days. Three years ago their ages were in the ratio 1:2:3. What is the present age of A?"
What sum of money put at C.I amounts in 2 years to Rs.8820 and in 3 years to Rs.9261?,What is the amount of money in C.I Rs.8820 in 2 years and Rs.9261 in 3 years?,What sum of money put at C.I amounts in 2 years to Rs.8820 and in 3 years to Rs.9261?,"What sum of money put at C.I amounts in two years to Rs.88two0 and in three years to Rs.nine thousand, two hundred and sixty-one?",,What sum of money put at C.I amounts in 2 to Rs.8820 and in 3 to Rs.9261?,What sum of money put at C.I amounts in 2 years to Rs.8820 and in 3,What sum of money put at C.I amounts in 2 years to and in 3 years to Rs.9261?,What sum of money put at C. I amounts in years to Rs. 88 0 and in 3 years to Rs. ?,Can you tell me the amount of money put at C.I in 2 and 3 years?,What sum of money put at C.I amounts in 2 minutes to Rs.8820 and in 3 years to Rs.9261?
"The present age of a father is 3 years more than three times the age of his son. Three years hence, father’s age will be 10 years more than twice athe age of the son. Find the present age of the father.","The current age of a father at 3 years is more than three times that of his son.In three years ""time, the father's age will be more than twice that of his son.Find out your father's current age.","The present age of a father is 3 years more than three times the age of his son. Three years hence, father’s age will be 10 years more than twice athe age of the son. Find the present age of the father.","The present age of a father is three years more than three times the age of his son. Three years hence, father’s age will be ten years more than twice athe age of the son. Find the present age of the father.","The present age of a father is 3 years more than three times the age of his son. Three years hence, father ’ s age will be 10 years more than twice athe age of the son. Find the present age of the father.","The of a father is 3 years more than three times the age of his son. Three years hence, father’s age will be 10 years more than twice athe age of the son. Find the of the father.","The present age of a father is 3 years more than three times the age of his son. Three years hence, father’s age will be 10 years more than twice athe age of the son.","The present xvii of a niki is 3 years more than three times the age of his son. Three years hence, father’s age will be 10 years more than twice athe age of the son. Find the present age of the father.","The present age of a father is years more than times the age of his son. years hence, father’s age will be years more than twice athe age of the son. Find the present age of the father.","The present nelson of a father is 3 years more than three times the age of his son. Three years hence, father’s age will be 10 years more than twice athe age of the son. Find the present age of the father.","The present age of a father is 3 months more than three times the age of his son. Three years hence, father ’ s age will be 10 years more than twice athe age of the son. Find the present age of the father."
"The ratio between the length and the breadth of a rectangular park is 3 : 2. If a man cycling along the boundary of the park at the speed of 12 km/hr completes one round in 8 minutes, then the area of the park (in sq. m) is:","The ratio of length and width of a rectangular park is 3: 2.If a man who rides a bicycle along the boundary of the park at a speed of 12 km / h manages a lap in 8 minutes, then the area of the park (in square meters) is large.(m) is:","The ratio between the length and the breadth of a rectangular park is 3 : 2. If a man cycling along the boundary of the park at the speed of 12 km/hr completes one round in 8 minutes, then the area of the park (in sq. m) is:","The ratio between the length and the breadth of a rectangular park is three : two. If a man cycling along the boundary of the park at the speed of 1two km/hr completes one round in eight minutes, then the area of the park (in sq. M) is:","The ratio between the length and the breadth of a rectangular park is 3: 2. If a man cycling along the boundary of the park at the speed of 12 kilometre per hour completes one round in 8 minutes, then the area of the park (in sq. m) is:","The ratio between the length and the breadth of a is 3 : 2. If a man cycling along the boundary of the park at the speed of 12 km/hr completes one round in 8 minutes, then the area of the park (in sq. m) is:",The ratio between the length and the breadth of a rectangular park is 3 : 2.,"The ratio between 6635 length and the breadth of a rectangular axe is 3 : 2. If a man cycling along the boundary of the park at the speed of 12 km/hr completes one round in 8 minutes, then the area of the park (in sq. m) is:","The ratio between the length and the breadth of a rectangular park is : 2. If a man cycling along the boundary of the park at the speed of 12 km/hr completes 1 round in minutes, then the area of the park (in sq. m) is:","The ratio between viviana length and the breadth of a rectangular 5964 is 3 : 2. If a man cycling along the boundary of the park at the speed of 12 km/hr completes one round in 8 minutes, then the area of the park (in sq. m) is:","The ratio between the length and the breadth of a rectangular park is 3: 2. If a man cycling along the boundary of the park at the speed of 12 m/s completes one round in 8 minutes, then the area of the park (in sq. m) is:"
"A man buys an article and sells it at a profit of 20%. If he had bought it at 20% less and sold it for Rs.78 less, he could have gained 25%. What is the cost price?","A man buys an item and sells it for a profit of 20%.If he had bought it for 20% less and sold it for Rs.78, he could have won 25%.What are the costs?","A man buys an article and sells it at a profit of 20%. If he had bought it at 20% less and sold it for Rs.78 less, he could have gained 25%. What is the cost price?","A man buys an article and sells it at a profit of twenty%. If he had bought it at twenty% less and sold it for Rs.seventy-eight less, he could have gained twenty-five%. What is the cost price?","A man buys an article and sells it at a profit of 20% . If he had bought it at 20% less and sold it for Rs.78 less, he could have gained 25% . What is the cost price?","A man buys an and sells it at a profit of 20%. If he had bought it at 20% less and sold it for Rs.78 less, he could have gained 25%. What is the cost price?","A man buys an article and sells it at a profit of 20%. If he had bought it at 20% less and sold it for Rs.78 less, he could have gained 25%.","A man buys an article and sells it at a profit of 20%. If he had bought it at 20% less and sold it for less, he could have gained 25%. What is the cost price?","A man buys an article and sells it at a profit of 20%. If he had bought it at 20% less and sold it for Rs. less, he could have gained %. What is the cost price?","A man buys an article and sells mitchell at a profit of 20%. If he had bought it at 20% 14z and sold it for Rs.78 less, he could have gained 25%. What is the cost price?","A man buys an article and sells it at a profit of 20% . If he had bought it at 20% less and sold it for Rs.78 less, he could have gained 25% . What is the cost price?"
"A man wants to sell his scooter.There are two offers,one at Rs.12,000 cash and the other at a credit of Rs. 12,880 to be paid after 8 months,money being at 18% per annum. Which is the better offer ?","A man wants to sell his scooter. There are two offers, one for Rs 12,000 in cash and the other for a loan of Rs.12,880 are paid out after 8 months, or 18% per year.Which is the better deal?","A man wants to sell his scooter.There are two offers,one at Rs.12,000 cash and the other at a credit of Rs. 12,880 to be paid after 8 months,money being at 18% per annum. Which is the better offer ?","A man wants to sell his scooter.There are two offers,one at Rs.twelve,zero cash and the other at a credit of Rs. Twelve,eighteight0 to be paid after eight months,money being at 1eight% per annum. Which is the better offer ?","A man wants to sell his scooter.There are two offers, one at Rs.12,000 cash and the other at a credit of Rupees. 12,880 to be paid after 8 months, money being at 18% per annum. Which is the better offer?","A man wants to sell his scooter.There are two ,one at Rs.12,000 cash and the other at a credit of Rs. 12,880 to be paid after 8 months,money being at 18% per annum. Which is the better offer ?","A man wants to sell his scooter.There are two offers,one at Rs.12,000 cash and the other at a credit of Rs. 12,880 to be paid after 8 months,money being at 18% per annum.","A man wants to sell his scooter.There are two 1491625s,one at Rs.12,000 cash and the other at a credit of Rs. 12,880 to be paid after 8 months,money being at 18% per annum. Which is the competing offer ?","A man wants to sell his scooter. There are 2 offers,one at Rs. 12, cash and the other at a credit of Rs. 12, 0 to be paid after months,money being at 1 % per annum. Which is the better offer?","An offer of Rs.12,000 cash and a credit of Rs.12,880 is available for sale of a scooter by a man.","A man wants to sell his scooter.There are two offers, one at Rs.12,000 cash and the other at a credit of EUR. 12,880 to be paid after 8 days, money being at 18% per annum. Which is the better offer?"
What is the sum of all the multiples of 8 between 30 and 100?,What is the sum of all multiples of 8 from 30 to 100?,What is the sum of all the multiples of 8 between 30 and 100?,What is the sum of all the multiples of eight between thirty and one hundred?,,What is the sum of all the of 8 between 30 and 100?,What is the sum of all the multiples of 8 between,What is the sum of all the shruti of 8 between 30 and easily?,What is the sum of all the multiples of between and 100?,How many multiples are there between 30 and 100.,What is the sum of all the dimple of 8 between 30 and 400km?
The ratio between the sale price and the cost price of an article is 7:4. What is the ratio between the profit and the cost price of that article?,The ratio between the selling price and the cost price of an item is 7: 4.What is the ratio between the profit and the cost price of this item?,The ratio between the sale price and the cost price of an article is 7:4. What is the ratio between the profit and the cost price of that article?,The ratio between the sale price and the cost price of an article is seven:four. What is the ratio between the profit and the cost price of that article?,,The between the sale price and the cost price of an article is 7:4. What is the between the profit and the cost price of that article?,The ratio between the sale price and the cost price of an article is 7:4.,The ratio between the sale tells and the cost price of an breaks is 7:4. What is the ratio between the profit and the cost price of that article?,The ratio between the sale price and the cost price of an article is : . What is the ratio between the profit and the cost price of that article?,The ratio between the sale 1984 and the cost price of an article is 7:4. What is the ratio between the profit and the cost price of that article?,The ratio between the sale plastics and the cost price of an article is 7:4. What is the ratio between the profit and the cost price of that article?
"How many multiples of 6 are less than 5000, and also multiples of 8?",How many multiples of 6 are less than 5000 and also a multiple of 8?,"How many multiples of 6 are less than 5000, and also multiples of 8?","How many multiples of six are less than five thousand, and also multiples of eight?",,"How of 6 are less than 5000, and also multiples of 8?","How many multiples of 6 are less than 5000, and also","How many atmost of 6 are less than 5seconds, and also multiples of 8?","How many multiples of 6 are less than , and also multiples of ?","There are 6 multiples, but how many are less than 5000?","How many 784 of 6 are less than 5000, and also multiples of 8?"
A six-sided die is rolled once. What is the probability that the number rolled is an even number greater than 5?,A six-sided dice is rolled once.What is the likelihood that the roll of the dice is an even number greater than 5?,A six-sided die is rolled once. What is the probability that the number rolled is an even number greater than 5?,A six-sided die is rolled once. What is the probability that the number rolled is an even number greater than five?,,A six-sided die is rolled once. What is the that the number rolled is an even number greater than 5?,A six-sided die is rolled once.,A six-sided die is allocacting once. What is the probability that the number rolled is an even number greater than 5?,A six-sided die is rolled once. What is the probability that the number rolled is an even number greater than ?,How likely is the number rolled to be greater than five?,A six-sided die is 4000votes once. What is the probability that the number rolled is an even number greater than 5?
Sum of Rs.36.90 is created by 180 coins which are possibly 10 paise coins or 25 paise coins. The count of 10 paise coins are,"The total of Rs.36.90 is made up of 180 coins, which may be 10 or 25 paise coins.The number of the 10 paise coins is",Sum of Rs.36.90 is created by 180 coins which are possibly 10 paise coins or 25 paise coins. The count of 10 paise coins are,Sum of Rs.thirty-six.ninety is created by one hundred and eighty coins which are possibly ten paise coins or twenty-five paise coins. The count of ten paise coins are,,Sum of Rs.36.90 is created by 180 which are possibly 10 paise or 25 paise . The count of 10 paise are,Sum of Rs.36.90 is created by 180 coins which are possibly 10 paise coins or 25 paise coins.,Sum of Rs.36.90 is created by 180 frederick which are possibly 10 paise coins or 25 paise coins. The count of 10 paise coins are,Sum of Rs. . 90 is created by 180 coins which are possibly 10 paise coins or paise coins. The count of 10 paise coins are,Sum of Rs.36.90 is created by 180 concave which are possibly 10 paise coins or 25 paise coins. The count of 10 paise coins are,Sum of Rs.36.90 is created by 180 announces which are possibly 10 metallic coins or 25 paise coins. The count of 10 paise coins are
if you put $1500 into the bank with a interest rate of 5% and left the money there for 4 years how much interest do you get at the end of the 4 years?,"If you deposit $1500 at an interest rate of 5% into the bank and leave the money there for 4 years, how much interest will you get at the end of the 4 years?",if you put $1500 into the bank with a interest rate of 5% and left the money there for 4 years how much interest do you get at the end of the 4 years?,"If you put $one thousand, five hundred into the bank with a interest rate of five% and left the money there for four years how much interest do you get at the end of the four years?",if you put $ 1500 into the bank with a interest rate of 5% and left the money there for 4 years how much interest do you get at the end of the 4 years?,if you put $1500 into the bank with a interest rate of 5% and left the money there for 4 how much interest do you get at the end of the 4 ?,if you put $1500 into the bank with a interest rate of 5% and left the money there for 4 years how much interest do you get at the end of,if napkin put $1500 into the bank with a interest rate of 5% and left the money there for 4 years how much interest do you get at the end of the 4 years?,if you put $ into the bank with a interest rate of 5% and left the money there for years how much interest do you get at the end of the years?,How much interest do you get at the end of the 4 years after you put your money in the bank with a 5% interest rate?,if you put £ 1500 into the bank with a interest rate of 5% and left the money there for 4 years how much interest do you get at the end of the 4 years?
A car is running at a speed of 90 kmph. What distance will it cover in 15 second?,A car travels at a speed of 90 km / h.Which distance will he cover in 15 seconds?,A car is running at a speed of 90 kmph. What distance will it cover in 15 second?,A car is running at a speed of ninety kmph. What distance will it cover in fifteen second?,A car is running at a speed of 90 kilometre per hour. What distance will it cover in 15 second?,A is running at a speed of 90 kmph. What distance will it cover in 15 second?,A car is running at a speed of 90 kmph.,A car is running at a speed of 90 kmph. What distance will it 2020 in 15 second?,A car is running at a speed of kmph. What distance will it cover in second?,How long will it take the car to cover in 15 seconds?,A car is running at a speed of 90 m/s. What distance will it cover in 15 second?
A train speeds past a pole in 25 seconds and a platform 150 m long in 30 seconds. Its length is?,A train hurtles past a mast in 25 seconds and a platform of 150 m in length in 30 seconds.His length?,A train speeds past a pole in 25 seconds and a platform 150 m long in 30 seconds. Its length is?,A train speeds past a pole in twenty-five seconds and a platform one hundred and fifty m long in thirty seconds. Its length is?,A train speeds past a pole in 25 seconds and a platform 150 metre long in 30 seconds. Its length is?,A train speeds past a pole in 25 seconds and a platform 150 m long in 30 seconds. Its is?,A train speeds past a pole in 25 seconds and a platform 150 m long in 30 seconds.,A train speeds rehearsing a pole in 25 accompanying and a platform 150 m long in 30 seconds. Its length is?,A train speeds past a pole in 25 seconds and a platform m long in seconds. Its length is?,"In 30 seconds, the train goes past a pole and the platform is long.",A train speeds past a pole in 25 seconds and a platform 150 km long in 30 seconds. Its length is?
The ratio of two numbers is 3:4 and their sum is 28. The greater of the two numbers is?,The ratio of two numbers is 3: 4 and their total is 28.The bigger of the two numbers is?,The ratio of two numbers is 3:4 and their sum is 28. The greater of the two numbers is?,The ratio of two numbers is three:four and their sum is twenty-eight. The greater of the two numbers is?,,The of two numbers is 3:4 and their sum is 28. The greater of the two numbers is?,The ratio of two numbers is 3:4 and their sum is 28.,The ratio of two qq is 3:4 and their sum is 28. The greater of the two numbers is?,The ratio of numbers is 3:4 and their sum is . The greater of the numbers is?,The ratio of 3554 successful is 3:4 and their sum is 28. The greater of the two numbers is?,The ratio of rotated anncy is 3:4 and their sum is 28. The greater of the two numbers is?
"Mary, Peter, and Lucy were picking chestnuts. Mary picked three times as much as much chestnuts than Peter. Lucy picked 4 kg more than Peter. Together the three of them picked 29 kg of chestnuts. How many kilograms of chestnuts did Mary, Peter, and Lucy pick respectively?","Mary, Peter and Lucy picked chestnuts.Mary plucked three times as many chestnuts as Peter.Lucy lost 4kg more than Peter.Together, the three picked 29kg of chestnuts.How many kilos of chestnuts did Mary, Peter and Lucy pick?","Mary, Peter, and Lucy were picking chestnuts. Mary picked three times as much as much chestnuts than Peter. Lucy picked 4 kg more than Peter. Together the three of them picked 29 kg of chestnuts. How many kilograms of chestnuts did Mary, Peter, and Lucy pick respectively?","Mary, Peter, and Lucy were picking chestnuts. Mary picked three times as much as much chestnuts than Peter. Lucy picked four kg more than Peter. Together the three of them picked twenty-nine kg of chestnuts. How many kilograms of chestnuts did Mary, Peter, and Lucy pick respectively?","Mary, Peter, and Lucy were picking chestnuts. Mary picked three times as much as much chestnuts than Peter. Lucy picked 4 kilogram more than Peter. Together the three of them picked 29 kg of chestnuts. How many kilograms of chestnuts did Mary, Peter, and Lucy pick respectively?","Mary, Peter, and Lucy were picking . Mary picked three times as much as much than Peter. Lucy picked 4 kg more than Peter. Together the three of them picked 29 kg of . How many kilograms of did Mary, Peter, and Lucy pick respectively?","Mary, Peter, and Lucy were picking chestnuts. Mary picked three times as much as much chestnuts than Peter. Lucy picked 4 kg more than Peter. Together the three of them picked 29 kg of chestnuts.","Mary, Peter, and Lucy were picking chestnuts. Mary picked three times as much as much chestnuts than Teddie . Lucy picked 4 kg more than Peter. Together the three of them picked 29 kg of chestnuts. How many kilograms of chestnuts did Mary, Peter, and Lucy pick respectively?","Mary, Peter, and Lucy were picking chestnuts. Mary picked times as much as much chestnuts than Peter. Lucy picked kg more than Peter. Together the of them picked 29 kg of chestnuts. How many kilograms of chestnuts did Mary, Peter, and Lucy pick respectively?","Mary, Peter, and Lucy were picking murphy. Mary picked three times as much as much chestnuts than Peter. Lucy picked 4 kg more than Peter. Together the three of them picked 29 kg of chestnuts. How many kilograms of chestnuts did Mary, Peter, and Lucy pick respectively?","Mary, Peter, and Lucy were picking chestnuts. Mary picked three times as much as much chestnuts than Peter. Lucy picked 4 g more than Peter. Together the three of them picked 29 kg of chestnuts. How many kilograms of chestnuts did Mary, Peter, and Lucy pick respectively?"
"A man can swim in still water at 4.5 km/h, but takes twice as long to swim upstream than downstream. The speed of the stream is?","A man can swim at 4.5 km / h in still water, but it takes twice as long to swim upstream as it does downstream.The speed of the current is?","A man can swim in still water at 4.5 km/h, but takes twice as long to swim upstream than downstream. The speed of the stream is?","A man can swim in still water at four.five km/h, but takes twice as long to swim upstream than downstream. The speed of the stream is?","A man can swim in still water at 4.5 kilometre per hour, but takes twice as long to swim upstream than downstream. The speed of the stream is?","A man can swim in still water at 4.5 km/h, but takes twice as long to swim up than down . The speed of the is?","A man can swim in still water at 4.5 km/h, but takes twice as long to swim upstream than downstream.","A man can milkmaid in still water at 4.5 km/h, but takes twice as long to swim upstream than downstream. The speed of the stream is?","A man can swim in still water at . km/h, but takes twice as long to swim upstream than downstream. The speed of the stream is?",It takes a man twice as long to swim upstream than downstream if he swims in still water at 4.5 km/h.,"A man can swim in still water at 4.5 mph, but takes twice as long to swim upstream than downstream. The speed of the stream is?"
"A pump can fill a tank with water in 10 hours. Because of a leak, it took 20 hours to fill the tank. The leak can drain all the water in ?",A pump can fill up a tank with water in 10 hours.Due to a leak it took 20 hours to fill the tank.Can the leak drain all of the water?,"A pump can fill a tank with water in 10 hours. Because of a leak, it took 20 hours to fill the tank. The leak can drain all the water in ?","A pump can fill a tank with water in ten hours. Because of a leak, it took twenty hours to fill the tank. The leak can drain all the water in ?","A pump can fill a tank with water in 10 hours. Because of a leak, it took 20 hours to fill the tank. The leak can drain all the water in?","A pump can fill a tank with water in 10 hours. Because of a , it took 20 hours to fill the tank. The can drain all the water in ?","A pump can fill a tank with water in 10 hours. Because of a leak, it took 20 hours to fill the tank.","A pump can fill a tank with water in 10 hours. Because of a 856973, it took 20 hours to fill the tank. The leak can drain all the water in ?","A pump can fill a tank with water in hours. Because of a leak, it took hours to fill the tank. The leak can drain all the water in?","A pump can fill a tank with water in 10 hours. Because of a 3263442, it took 20 hours to fill the tank. The leak can drain all the water in ?","A pump can fill a tank with water in 10 minutes. Because of a leak, it took 20 hours to fill the tank. The leak can drain all the water in?"
